noise_ID,type,subset,length,augmented,origin_path
40hc0201_1.3028_20pc0101_-1.3028.wav,wham_noise,tr,54079,False,/home/getsum/code/temp/data/noise/wham_noise/tr/40hc0201_1.3028_20pc0101_-1.3028.wav
01oc0214_0.72509_017c021c_-0.72509.wav,wham_noise,tr,59114,False,/home/getsum/code/temp/data/noise/wham_noise/tr/01oc0214_0.72509_017c021c_-0.72509.wav
209c010p_2.3645_01vc020u_-2.3645.wav,wham_noise,tr,61979,False,/home/getsum/code/temp/data/noise/wham_noise/tr/209c010p_2.3645_01vc020u_-2.3645.wav
023c020y_1.663_40hc020s_-1.663.wav,wham_noise,tr,62940,False,/home/getsum/code/temp/data/noise/wham_noise/tr/023c020y_1.663_40hc020s_-1.663.wav
027o0319_0.54789_024c020l_-0.54789.wav,wham_noise,tr,65105,False,/home/getsum/code/temp/data/noise/wham_noise/tr/027o0319_0.54789_024c020l_-0.54789.wav
20ic010c_2.1956_013c020y_-2.1956.wav,wham_noise,tr,65986,False,/home/getsum/code/temp/data/noise/wham_noise/tr/20ic010c_2.1956_013c020y_-2.1956.wav
40eo030u_0.76285_01ec021c_-0.76285.wav,wham_noise,tr,66290,False,/home/getsum/code/temp/data/noise/wham_noise/tr/40eo030u_0.76285_01ec021c_-0.76285.wav
01qo0319_1.312_20cc010f_-1.312.wav,wham_noise,tr,66710,False,/home/getsum/code/temp/data/noise/wham_noise/tr/01qo0319_1.312_20cc010f_-1.312.wav
01yc021a_0.39089_02dc020g_-0.39089.wav,wham_noise,tr,69295,False,/home/getsum/code/temp/data/noise/wham_noise/tr/01yc021a_0.39089_02dc020g_-0.39089.wav
408c0219_0.75342_023c0218_-0.75342.wav,wham_noise,tr,69634,False,/home/getsum/code/temp/data/noise/wham_noise/tr/408c0219_0.75342_023c0218_-0.75342.wav
01cc020m_1.4887_01sc0219_-1.4887.wav,wham_noise,tr,70580,False,/home/getsum/code/temp/data/noise/wham_noise/tr/01cc020m_1.4887_01sc0219_-1.4887.wav
